calendar_day,avg_consumption,avg_weekday_consumption,avg_weekend_consumption
07-14,1255.5555555555557,1346.3333333333333,1074.0
07-15,1252.0,1326.5,1103.0
07-16,1227.2222222222222,1338.2,1088.5
07-17,1239.6666666666667,1313.5,1092.0
07-18,1275.2222222222222,1330.2857142857142,1082.5
07-19,1298.7777777777778,1337.625,988.0
07-20,1297.4444444444443,1348.7142857142858,1118.0
07-21,1247.7777777777778,1330.5,1082.3333333333333
07-22,1243.2222222222222,1321.0,1087.6666666666667
07-23,1216.3333333333333,1327.6,1077.25
07-24,1241.7777777777778,1318.3333333333333,1088.6666666666667
07-25,1287.2222222222222,1344.2857142857142,1087.5
07-26,1305.6666666666667,1342.125,1014.0
07-27,1286.5555555555557,1332.857142857143,1124.5
07-28,1245.111111111111,1320.1666666666667,1095.0
07-29,1231.4444444444443,1302.6666666666667,1089.0
07-30,1202.111111111111,1314.4,1061.75
07-31,1230.888888888889,1305.1666666666667,1082.3333333333333
08-01,1264.2222222222222,1316.5714285714287,1081.0
08-02,1282.6666666666667,1316.375,1013.0
08-03,1272.0,1325.857142857143,1083.5
08-04,1228.2222222222222,1301.5,1081.6666666666667
08-05,1219.6666666666667,1286.5,1086.0
08-06,1195.111111111111,1305.6,1057.0
08-07,1219.111111111111,1302.6666666666667,1052.0
08-08,1266.0,1314.857142857143,1095.0
08-09,1283.111111111111,1314.0,1036.0
08-10,1273.0,1314.142857142857,1129.0
08-11,1232.111111111111,1304.0,1088.3333333333333
08-12,1230.2222222222222,1302.0,1086.6666666666667
08-13,1212.6666666666667,1338.2,1055.75
08-14,1226.2222222222222,1300.1666666666667,1078.3333333333333
08-15,1238.111111111111,1281.4285714285713,1086.5
08-16,1275.4444444444443,1305.125,1038.0
08-17,1279.111111111111,1329.2857142857142,1103.5
08-18,1243.3333333333333,1325.6666666666667,1078.6666666666667
08-19,1236.6666666666667,1304.1666666666667,1101.6666666666667
08-20,1209.4444444444443,1326.4,1063.25
08-21,1230.6666666666667,1319.1666666666667,1053.6666666666667
08-22,1267.4444444444443,1313.7142857142858,1105.5
08-23,1297.888888888889,1327.125,1064.0
08-24,1287.888888888889,1337.7142857142858,1113.5
08-25,1254.4444444444443,1339.0,1085.3333333333333
08-26,1258.4444444444443,1340.1666666666667,1095.0
08-27,1233.111111111111,1357.6,1077.5
08-28,1251.111111111111,1333.1666666666667,1087.0
08-29,1291.111111111111,1344.7142857142858,1103.5
08-30,1309.0,1344.375,1026.0
08-31,1291.3333333333333,1342.2857142857142,1113.0
09-01,1251.111111111111,1329.0,1095.3333333333333
09-02,1248.0,1330.0,1084.0
09-03,1234.4444444444443,1365.0,1071.25
09-04,1255.7777777777778,1339.5,1088.3333333333333
09-05,1300.6666666666667,1358.142857142857,1099.5
09-06,1319.6666666666667,1353.75,1047.0
09-07,1300.2222222222222,1348.857142857143,1130.0
09-08,1275.7777777777778,1361.6666666666667,1104.0
09-09,1269.5555555555557,1348.0,1112.6666666666667
09-10,1241.111111111111,1372.0,1077.5
09-11,1265.3333333333333,1361.8333333333333,1072.3333333333333
09-12,1306.111111111111,1358.2857142857142,1123.5
09-13,1332.3333333333333,1366.375,1060.0
09-14,1310.0,1362.857142857143,1125.0
09-15,1280.5555555555557,1364.5,1112.6666666666667
09-16,1279.111111111111,1363.8333333333333,1109.6666666666667
09-17,1254.2222222222222,1380.0,1097.0
09-18,1279.111111111111,1364.0,1109.3333333333333
09-19,1301.2222222222222,1356.7142857142858,1107.0
09-20,1312.7777777777778,1347.5,1035.0
09-21,1303.5555555555557,1365.7142857142858,1086.0
09-22,1260.5555555555557,1342.6666666666667,1096.3333333333333
09-23,1273.3333333333333,1345.5,1129.0
09-24,1249.2222222222222,1384.4,1080.25
09-25,1268.2222222222222,1355.5,1093.6666666666667
09-26,1326.888888888889,1377.142857142857,1151.0
09-27,1354.6666666666667,1387.625,1091.0
09-28,1337.3333333333333,1383.857142857143,1174.5
09-29,1298.4444444444443,1379.0,1137.3333333333333
09-30,1303.0,1386.3333333333333,1136.3333333333333
10-01,1283.7777777777778,1422.6,1110.25
10-02,1281.7777777777778,1360.5,1124.3333333333333
10-03,1139.2222222222222,1130.8333333333333,1156.0
10-04,1299.4444444444443,1355.5714285714287,1103.0
10-05,1385.0,1409.75,1187.0
10-06,1370.7777777777778,1429.4285714285713,1165.5
10-07,1331.7777777777778,1417.6666666666667,1160.0
10-08,1306.4444444444443,1441.6,1137.5
10-09,1316.5555555555557,1409.3333333333333,1131.0
10-10,1344.7777777777778,1420.5,1193.3333333333333
10-11,1369.2222222222222,1438.4285714285713,1127.0
10-12,1406.888888888889,1426.5,1250.0
10-13,1371.111111111111,1427.857142857143,1172.5
10-14,1358.7777777777778,1454.8333333333333,1166.6666666666667
10-15,1328.5555555555557,1476.8,1143.25
10-16,1337.6666666666667,1427.1666666666667,1158.6666666666667
10-17,1346.2222222222222,1411.5,1215.6666666666667
10-18,1372.5555555555557,1433.142857142857,1160.5
10-19,1416.6666666666667,1437.75,1248.0
10-20,1397.6666666666667,1460.0,1179.5
10-21,1364.111111111111,1455.1666666666667,1182.0
10-22,1338.4444444444443,1488.4,1151.0
10-23,1353.3333333333333,1451.5,1157.0
10-24,1377.4444444444443,1452.0,1228.3333333333333
10-25,1401.4444444444443,1455.5714285714287,1212.0
10-26,1427.5555555555557,1446.125,1279.0
10-27,1411.2222222222222,1453.5714285714287,1263.0
10-28,1383.6666666666667,1459.5,1232.0
10-29,1362.6666666666667,1499.8,1191.25
10-30,1344.2222222222222,1432.3333333333333,1168.0
10-31,1272.4444444444443,1302.0,1213.3333333333333
11-01,1247.0,1271.7142857142858,1160.5
11-02,1413.888888888889,1437.625,1224.0
11-03,1397.0,1456.5714285714287,1188.5
11-04,1387.888888888889,1473.6666666666667,1216.3333333333333
11-05,1360.2222222222222,1492.8,1194.5
11-06,1384.2222222222222,1464.1666666666667,1224.3333333333333
11-07,1407.111111111111,1481.5,1258.3333333333333
11-08,1410.5555555555557,1486.0,1146.5
11-09,1462.0,1485.875,1271.0
11-10,1443.3333333333333,1499.2857142857142,1247.5
11-11,1410.111111111111,1492.3333333333333,1245.6666666666667
11-12,1377.111111111111,1504.0,1218.5
11-13,1399.111111111111,1490.3333333333333,1216.6666666666667
11-14,1410.888888888889,1498.0,1236.6666666666667
11-15,1431.6666666666667,1496.7142857142858,1204.0
11-16,1481.0,1501.5,1317.0
11-17,1462.888888888889,1509.7142857142858,1299.0
11-18,1431.4444444444443,1510.8333333333333,1272.6666666666667
11-19,1415.2222222222222,1554.4,1241.25
11-20,1422.111111111111,1516.1666666666667,1234.0
11-21,1444.0,1511.6666666666667,1308.6666666666667
11-22,1460.4444444444443,1522.0,1245.0
11-23,1504.7777777777778,1525.75,1337.0
11-24,1471.3333333333333,1528.7142857142858,1270.5
11-25,1447.7777777777778,1530.1666666666667,1283.0
11-26,1419.0,1557.2,1246.25
